deck_name,tier,usage_rate,win_rate,main_pokemon,energy_type,main_pokemon_hp,main_attack_damage,main_attack_energy_cost,is_ex,has_evolution,deck_style,description
ミュウツーexデッキ,S,18.5,55.2,ミュウツーex,Psychic,150,150,3,True,False,アグロ,超高火力の単体アタッカー。ガーディア・ジラーチとの組み合わせで安定性も高い。
メガリザードンX/Yデッキ,S,16.2,54.8,メガリザードンex,Fire,220,220,4,True,True,アグロ,世界最高火力クラス。進化が必要だが決まれば圧倒的。
ピカチュウexデッキ,S,14.3,53.1,ピカチュウex,Lightning,120,90,2,True,False,アグロ,低エネルギーで連続攻撃。ライチュウへの進化でさらに強化。
メガハッサムexデッキ,A,10.8,51.6,メガハッサムex,Grass,200,180,3,True,True,バランス,高耐久・高火力。ブロロロームやセレナ＆カルムとの組み合わせが強力。
ダークライ×チルタリスデッキ,A,9.4,50.3,ダークライex,Dark,150,130,3,True,True,コントロール,チルタリスの「ねむり」で相手を封殺。対策されにくい害悪系。
スターミーexデッキ,A,8.7,50.1,スターミーex,Water,130,90,2,True,False,アグロ,自己回復持ち。長期戦に強く事故率も低い。
ゲンガーexデッキ,A,7.9,49.8,ゲンガーex,Psychic,130,100,2,True,True,コントロール,相手のベンチへのダメージが強力。サポートと組み合わせてコントロール。
アーケオスexデッキ,A,7.2,49.5,アーケオスex,Fighting,160,130,3,True,False,アグロ,化石デッキ。特性でエネルギー加速できる。
カメックスexデッキ,B,6.1,48.2,カメックスex,Water,180,120,3,True,True,バランス,エネルギー加速特性が強力。進化の安定性がやや課題。
ルカリオexデッキ,B,5.8,47.9,ルカリオex,Fighting,120,90,2,True,False,アグロ,弱点を突きやすい。ベンチ展開で連続攻撃。
ライコウexデッキ,B,4.6,47.5,ライコウex,Lightning,120,100,3,True,False,アグロ,ベンチが多いほどダメージ増加。展開力が鍵。
サーナイトexデッキ,B,4.2,47.1,サーナイトex,Psychic,150,110,3,True,True,バランス,ベンチ回復が得意。長期戦向き。
フーディンexデッキ,B,3.9,46.8,フーディンex,Psychic,130,100,2,True,True,コントロール,特性でダメカン移動。コントロール色が強い。
バンギラスexデッキ,C,3.1,45.2,バンギラスex,Dark,200,150,4,True,True,アグロ,超大型だが進化に時間がかかる。決まれば圧倒的。
カイリューexデッキ,C,2.7,44.8,カイリューex,Colorless,180,130,3,True,True,バランス,無色エネルギーで汎用性高い。進化安定性がネック。
ゲッコウガデッキ,B,2.3,46.5,ゲッコウガ,Water,130,80,2,False,True,アグロ,exなしで組めるコスパの良い水デッキ。素早い展開と連続攻撃が強み。
ライコウデッキ,C,1.9,44.2,ライコウ,Lightning,100,70,2,False,False,アグロ,exなし・たねのみの超高速アグロデッキ。事故率が低く先行有利。
カビゴン コントロール型 Ver.7,C,4.2,40.7,カビゴン,Colorless,154,95,3,False,False,コントロール,カビゴンを中心としたコントロール構成。
ハピナス バランス型 Ver.3,C,3.1,50.1,ハピナス,Colorless,168,59,3,False,True,バランス,ハピナスを中心としたバランス構成。
ハピナス バランス型 Ver.2,D,4.7,51.5,ハピナス,Colorless,187,76,3,False,False,バランス,ハピナスを中心としたバランス構成。
スイクンex コントロール型 Ver.8,D,2.4,46.1,スイクンex,Water,163,84,2,True,False,コントロール,スイクンexを中心としたコントロール構成。
セレビィex コンボ型 Ver.9,C,3.1,50.6,セレビィex,Grass,137,65,2,True,False,コンボ,セレビィexを中心としたコンボ構成。
カビゴン コントロール型 Ver.4,D,1.1,40.9,カビゴン,Colorless,156,89,3,False,True,コントロール,カビゴンを中心としたコントロール構成。
スイクンex コントロール型 Ver.4,C,2.3,47.2,スイクンex,Water,163,87,2,True,True,コントロール,スイクンexを中心としたコントロール構成。
ウインディex アグロ型 Ver.3,C,3.9,46.8,ウインディex,Fire,148,115,3,True,False,アグロ,ウインディexを中心としたアグロ構成。
セレビィex コンボ型 Ver.4,D,3.5,41.3,セレビィex,Grass,125,72,2,True,False,コンボ,セレビィexを中心としたコンボ構成。
マニューラ アグロ型 Ver.8,D,0.7,41.0,マニューラ,Dark,92,81,1,False,False,アグロ,マニューラを中心としたアグロ構成。
セレビィex コンボ型 Ver.6,C,1.9,50.2,セレビィex,Grass,139,70,2,True,False,コンボ,セレビィexを中心としたコンボ構成。
メルメタルex コントロール型 Ver.9,C,1.9,51.5,メルメタルex,Metal,210,159,3,True,False,コントロール,メルメタルexを中心としたコントロール構成。
レックウザex アグロ型 Ver.5,D,0.9,45.7,レックウザex,Dragon,172,159,4,True,False,アグロ,レックウザexを中心としたアグロ構成。
カイリキーex アグロ型 Ver.2,C,0.9,44.5,カイリキーex,Fighting,171,139,3,True,True,アグロ,カイリキーexを中心としたアグロ構成。
フシギバナex バランス型 Ver.2,B,1.2,48.8,フシギバナex,Grass,229,128,3,True,False,バランス,フシギバナexを中心としたバランス構成。
エンテイex アグロ型 Ver.1,B,3.4,48.8,エンテイex,Fire,164,105,3,True,False,アグロ,エンテイexを中心としたアグロ構成。
ラプラスex バランス型 Ver.4,D,1.0,51.0,ラプラスex,Water,158,103,3,True,True,バランス,ラプラスexを中心としたバランス構成。
ウインディex アグロ型 Ver.3,C,4.4,48.9,ウインディex,Fire,145,126,3,True,True,アグロ,ウインディexを中心としたアグロ構成。
ミュウex コンボ型 Ver.3,D,2.3,41.9,ミュウex,Psychic,128,111,2,True,True,コンボ,ミュウexを中心としたコンボ構成。
メルメタルex コントロール型 Ver.4,B,3.9,51.4,メルメタルex,Metal,217,131,3,True,False,コントロール,メルメタルexを中心としたコントロール構成。
ミュウex コンボ型 Ver.8,C,2.3,48.3,ミュウex,Psychic,136,95,1,True,False,コンボ,ミュウexを中心としたコンボ構成。
サンダーex アグロ型 Ver.3,B,2.1,41.1,サンダーex,Lightning,154,160,2,True,False,アグロ,サンダーexを中心としたアグロ構成。
スイクンex コントロール型 Ver.4,A,3.8,50.9,スイクンex,Water,152,97,3,True,True,コントロール,スイクンexを中心としたコントロール構成。
フシギバナex バランス型 Ver.6,A,2.7,49.5,フシギバナex,Grass,222,104,3,True,False,バランス,フシギバナexを中心としたバランス構成。
カイリキーex アグロ型 Ver.6,B,3.1,48.6,カイリキーex,Fighting,188,146,3,True,False,アグロ,カイリキーexを中心としたアグロ構成。
フシギバナex バランス型 Ver.6,A,5.0,43.9,フシギバナex,Grass,209,139,3,True,False,バランス,フシギバナexを中心としたバランス構成。
カビゴン コントロール型 Ver.1,D,1.8,51.0,カビゴン,Colorless,175,100,4,False,False,コントロール,カビゴンを中心としたコントロール構成。
カイリキーex アグロ型 Ver.3,C,3.5,48.7,カイリキーex,Fighting,174,141,4,True,True,アグロ,カイリキーexを中心としたアグロ構成。
セレビィex コンボ型 Ver.8,C,2.0,48.8,セレビィex,Grass,135,61,1,True,True,コンボ,セレビィexを中心としたコンボ構成。
マニューラ アグロ型 Ver.2,A,2.7,42.2,マニューラ,Dark,106,83,2,False,True,アグロ,マニューラを中心としたアグロ構成。
セレビィex コンボ型 Ver.6,C,2.3,52.0,セレビィex,Grass,135,77,2,True,False,コンボ,セレビィexを中心としたコンボ構成。
マニューラ アグロ型 Ver.6,B,0.9,41.4,マニューラ,Dark,91,88,1,False,True,アグロ,マニューラを中心としたアグロ構成。
フシギバナex バランス型 Ver.9,B,4.3,41.3,フシギバナex,Grass,190,112,4,True,False,バランス,フシギバナexを中心としたバランス構成。
ミュウex コンボ型 Ver.4,B,3.4,45.9,ミュウex,Psychic,138,95,1,True,True,コンボ,ミュウexを中心としたコンボ構成。
セレビィex コンボ型 Ver.8,C,0.8,46.4,セレビィex,Grass,140,70,2,True,False,コンボ,セレビィexを中心としたコンボ構成。
ハピナス バランス型 Ver.7,B,2.6,42.6,ハピナス,Colorless,175,71,2,False,True,バランス,ハピナスを中心としたバランス構成。
ミュウex コンボ型 Ver.1,B,2.2,49.2,ミュウex,Psychic,126,78,1,True,True,コンボ,ミュウexを中心としたコンボ構成。
ルギアex バランス型 Ver.6,B,3.2,45.9,ルギアex,Colorless,193,131,3,True,True,バランス,ルギアexを中心としたバランス構成。
ミュウex コンボ型 Ver.8,A,4.5,51.5,ミュウex,Psychic,133,129,3,True,True,コンボ,ミュウexを中心としたコンボ構成。
メルメタルex コントロール型 Ver.7,C,1.6,42.2,メルメタルex,Metal,214,153,4,True,False,コントロール,メルメタルexを中心としたコントロール構成。
