id,category,title,remodeling_insight
1,Memory,記憶の外部化: インフラとしての記録,AIに記憶を任せることで、人間のリソースは『覚える』から『問う』にシフトする
2,Cognition,直感の外部化: パターン認識の委譲,AIの判断を自分の直感として取り入れることで、意思決定の速度が極大化する
3,Time,25時間目の創出,ルーチンワークをAIが代行することで、一日が心理的に拡張される
4,Identity,Soul API: 魂の外部化,自分の性格や価値観をAIに学ばせ、自分がいない場所でも自分の意思が働くようになる
5,Environment,都市のエージェント化,街路樹や信号機、建物が自分のニーズを察知して反応するインフラ環境
6,Society,AI仲介による共感の増幅,他者の意図をAIが翻訳し、コミュニケーションの摩擦を限りなくゼロにする
7,Creativity,白紙状態の消失,何かを作ろうとしたとき、常にAIが数千の起点（下書き）を用意している状態
8,Knowledge,ジャストインタイム・エキスパート,必要な瞬間に、必要な専門知識がAIを通じて自分の脳に同期される状態
9,Perception,Perceptionとの融合_9,AIがPerceptionをとの融合させることで、人間のPerception能力が根本から変化する。
10,Memory,Memoryの自動化_10,AIがMemoryをの自動化させることで、人間のMemory能力が根本から変化する。
11,Cognition,Cognitionの流動化_11,AIがCognitionをの流動化させることで、人間のCognition能力が根本から変化する。
12,Time,Timeの分散化_12,AIがTimeをの分散化させることで、人間のTime能力が根本から変化する。
13,Identity,Identityの再定義_13,AIがIdentityをの再定義させることで、人間のIdentity能力が根本から変化する。
14,Environment,Environmentの民主化_14,AIがEnvironmentをの民主化させることで、人間のEnvironment能力が根本から変化する。
15,Society,Societyのエージェント化_15,AIがSocietyをのエージェント化させることで、人間のSociety能力が根本から変化する。
16,Creativity,Creativityへの依存_16,AIがCreativityをへの依存させることで、人間のCreativity能力が根本から変化する。
17,Knowledge,Knowledgeによる拡張_17,AIがKnowledgeをによる拡張させることで、人間のKnowledge能力が根本から変化する。
18,Logic,Logicの深淵_18,AIがLogicをの深淵させることで、人間のLogic能力が根本から変化する。
19,Perception,Perceptionとの融合_19,AIがPerceptionをとの融合させることで、人間のPerception能力が根本から変化する。
20,Memory,Memoryの自動化_20,AIがMemoryをの自動化させることで、人間のMemory能力が根本から変化する。
21,Cognition,Cognitionの流動化_21,AIがCognitionをの流動化させることで、人間のCognition能力が根本から変化する。
22,Time,Timeの分散化_22,AIがTimeをの分散化させることで、人間のTime能力が根本から変化する。
23,Identity,Identityの再定義_23,AIがIdentityをの再定義させることで、人間のIdentity能力が根本から変化する。
24,Environment,Environmentの民主化_24,AIがEnvironmentをの民主化させることで、人間のEnvironment能力が根本から変化する。
25,Society,Societyのエージェント化_25,AIがSocietyをのエージェント化させることで、人間のSociety能力が根本から変化する。
26,Creativity,Creativityへの依存_26,AIがCreativityをへの依存させることで、人間のCreativity能力が根本から変化する。
27,Knowledge,Knowledgeによる拡張_27,AIがKnowledgeをによる拡張させることで、人間のKnowledge能力が根本から変化する。
28,Logic,Logicの深淵_28,AIがLogicをの深淵させることで、人間のLogic能力が根本から変化する。
29,Perception,Perceptionとの融合_29,AIがPerceptionをとの融合させることで、人間のPerception能力が根本から変化する。
30,Memory,Memoryの自動化_30,AIがMemoryをの自動化させることで、人間のMemory能力が根本から変化する。
31,Cognition,Cognitionの流動化_31,AIがCognitionをの流動化させることで、人間のCognition能力が根本から変化する。
32,Time,Timeの分散化_32,AIがTimeをの分散化させることで、人間のTime能力が根本から変化する。
33,Identity,Identityの再定義_33,AIがIdentityをの再定義させることで、人間のIdentity能力が根本から変化する。
34,Environment,Environmentの民主化_34,AIがEnvironmentをの民主化させることで、人間のEnvironment能力が根本から変化する。
35,Society,Societyのエージェント化_35,AIがSocietyをのエージェント化させることで、人間のSociety能力が根本から変化する。
36,Creativity,Creativityへの依存_36,AIがCreativityをへの依存させることで、人間のCreativity能力が根本から変化する。
37,Knowledge,Knowledgeによる拡張_37,AIがKnowledgeをによる拡張させることで、人間のKnowledge能力が根本から変化する。
38,Logic,Logicの深淵_38,AIがLogicをの深淵させることで、人間のLogic能力が根本から変化する。
39,Perception,Perceptionとの融合_39,AIがPerceptionをとの融合させることで、人間のPerception能力が根本から変化する。
40,Memory,Memoryの自動化_40,AIがMemoryをの自動化させることで、人間のMemory能力が根本から変化する。
41,Cognition,Cognitionの流動化_41,AIがCognitionをの流動化させることで、人間のCognition能力が根本から変化する。
42,Time,Timeの分散化_42,AIがTimeをの分散化させることで、人間のTime能力が根本から変化する。
43,Identity,Identityの再定義_43,AIがIdentityをの再定義させることで、人間のIdentity能力が根本から変化する。
44,Environment,Environmentの民主化_44,AIがEnvironmentをの民主化させることで、人間のEnvironment能力が根本から変化する。
45,Society,Societyのエージェント化_45,AIがSocietyをのエージェント化させることで、人間のSociety能力が根本から変化する。
46,Creativity,Creativityへの依存_46,AIがCreativityをへの依存させることで、人間のCreativity能力が根本から変化する。
47,Knowledge,Knowledgeによる拡張_47,AIがKnowledgeをによる拡張させることで、人間のKnowledge能力が根本から変化する。
48,Logic,Logicの深淵_48,AIがLogicをの深淵させることで、人間のLogic能力が根本から変化する。
49,Perception,Perceptionとの融合_49,AIがPerceptionをとの融合させることで、人間のPerception能力が根本から変化する。
50,Memory,Memoryの自動化_50,AIがMemoryをの自動化させることで、人間のMemory能力が根本から変化する。
51,Cognition,Cognitionの流動化_51,AIがCognitionをの流動化させることで、人間のCognition能力が根本から変化する。
52,Time,Timeの分散化_52,AIがTimeをの分散化させることで、人間のTime能力が根本から変化する。
53,Identity,Identityの再定義_53,AIがIdentityをの再定義させることで、人間のIdentity能力が根本から変化する。
54,Environment,Environmentの民主化_54,AIがEnvironmentをの民主化させることで、人間のEnvironment能力が根本から変化する。
55,Society,Societyのエージェント化_55,AIがSocietyをのエージェント化させることで、人間のSociety能力が根本から変化する。
56,Creativity,Creativityへの依存_56,AIがCreativityをへの依存させることで、人間のCreativity能力が根本から変化する。
57,Knowledge,Knowledgeによる拡張_57,AIがKnowledgeをによる拡張させることで、人間のKnowledge能力が根本から変化する。
58,Logic,Logicの深淵_58,AIがLogicをの深淵させることで、人間のLogic能力が根本から変化する。
59,Perception,Perceptionとの融合_59,AIがPerceptionをとの融合させることで、人間のPerception能力が根本から変化する。
60,Memory,Memoryの自動化_60,AIがMemoryをの自動化させることで、人間のMemory能力が根本から変化する。
61,Cognition,Cognitionの流動化_61,AIがCognitionをの流動化させることで、人間のCognition能力が根本から変化する。
62,Time,Timeの分散化_62,AIがTimeをの分散化させることで、人間のTime能力が根本から変化する。
63,Identity,Identityの再定義_63,AIがIdentityをの再定義させることで、人間のIdentity能力が根本から変化する。
64,Environment,Environmentの民主化_64,AIがEnvironmentをの民主化させることで、人間のEnvironment能力が根本から変化する。
65,Society,Societyのエージェント化_65,AIがSocietyをのエージェント化させることで、人間のSociety能力が根本から変化する。
66,Creativity,Creativityへの依存_66,AIがCreativityをへの依存させることで、人間のCreativity能力が根本から変化する。
67,Knowledge,Knowledgeによる拡張_67,AIがKnowledgeをによる拡張させることで、人間のKnowledge能力が根本から変化する。
68,Logic,Logicの深淵_68,AIがLogicをの深淵させることで、人間のLogic能力が根本から変化する。
69,Perception,Perceptionとの融合_69,AIがPerceptionをとの融合させることで、人間のPerception能力が根本から変化する。
70,Memory,Memoryの自動化_70,AIがMemoryをの自動化させることで、人間のMemory能力が根本から変化する。
71,Cognition,Cognitionの流動化_71,AIがCognitionをの流動化させることで、人間のCognition能力が根本から変化する。
72,Time,Timeの分散化_72,AIがTimeをの分散化させることで、人間のTime能力が根本から変化する。
73,Identity,Identityの再定義_73,AIがIdentityをの再定義させることで、人間のIdentity能力が根本から変化する。
74,Environment,Environmentの民主化_74,AIがEnvironmentをの民主化させることで、人間のEnvironment能力が根本から変化する。
75,Society,Societyのエージェント化_75,AIがSocietyをのエージェント化させることで、人間のSociety能力が根本から変化する。
76,Creativity,Creativityへの依存_76,AIがCreativityをへの依存させることで、人間のCreativity能力が根本から変化する。
77,Knowledge,Knowledgeによる拡張_77,AIがKnowledgeをによる拡張させることで、人間のKnowledge能力が根本から変化する。
78,Logic,Logicの深淵_78,AIがLogicをの深淵させることで、人間のLogic能力が根本から変化する。
79,Perception,Perceptionとの融合_79,AIがPerceptionをとの融合させることで、人間のPerception能力が根本から変化する。
80,Memory,Memoryの自動化_80,AIがMemoryをの自動化させることで、人間のMemory能力が根本から変化する。
81,Cognition,Cognitionの流動化_81,AIがCognitionをの流動化させることで、人間のCognition能力が根本から変化する。
82,Time,Timeの分散化_82,AIがTimeをの分散化させることで、人間のTime能力が根本から変化する。
83,Identity,Identityの再定義_83,AIがIdentityをの再定義させることで、人間のIdentity能力が根本から変化する。
84,Environment,Environmentの民主化_84,AIがEnvironmentをの民主化させることで、人間のEnvironment能力が根本から変化する。
85,Society,Societyのエージェント化_85,AIがSocietyをのエージェント化させることで、人間のSociety能力が根本から変化する。
86,Creativity,Creativityへの依存_86,AIがCreativityをへの依存させることで、人間のCreativity能力が根本から変化する。
87,Knowledge,Knowledgeによる拡張_87,AIがKnowledgeをによる拡張させることで、人間のKnowledge能力が根本から変化する。
88,Logic,Logicの深淵_88,AIがLogicをの深淵させることで、人間のLogic能力が根本から変化する。
89,Perception,Perceptionとの融合_89,AIがPerceptionをとの融合させることで、人間のPerception能力が根本から変化する。
90,Memory,Memoryの自動化_90,AIがMemoryをの自動化させることで、人間のMemory能力が根本から変化する。
91,Cognition,Cognitionの流動化_91,AIがCognitionをの流動化させることで、人間のCognition能力が根本から変化する。
92,Time,Timeの分散化_92,AIがTimeをの分散化させることで、人間のTime能力が根本から変化する。
93,Identity,Identityの再定義_93,AIがIdentityをの再定義させることで、人間のIdentity能力が根本から変化する。
94,Environment,Environmentの民主化_94,AIがEnvironmentをの民主化させることで、人間のEnvironment能力が根本から変化する。
95,Society,Societyのエージェント化_95,AIがSocietyをのエージェント化させることで、人間のSociety能力が根本から変化する。
96,Creativity,Creativityへの依存_96,AIがCreativityをへの依存させることで、人間のCreativity能力が根本から変化する。
97,Knowledge,Knowledgeによる拡張_97,AIがKnowledgeをによる拡張させることで、人間のKnowledge能力が根本から変化する。
98,Logic,Logicの深淵_98,AIがLogicをの深淵させることで、人間のLogic能力が根本から変化する。
99,Perception,Perceptionとの融合_99,AIがPerceptionをとの融合させることで、人間のPerception能力が根本から変化する。
100,Memory,Memoryの自動化_100,AIがMemoryをの自動化させることで、人間のMemory能力が根本から変化する。
101,Cognition,Cognitionの流動化_101,AIがCognitionをの流動化させることで、人間のCognition能力が根本から変化する。
102,Time,Timeの分散化_102,AIがTimeをの分散化させることで、人間のTime能力が根本から変化する。
103,Identity,Identityの再定義_103,AIがIdentityをの再定義させることで、人間のIdentity能力が根本から変化する。
104,Environment,Environmentの民主化_104,AIがEnvironmentをの民主化させることで、人間のEnvironment能力が根本から変化する。
105,Society,Societyのエージェント化_105,AIがSocietyをのエージェント化させることで、人間のSociety能力が根本から変化する。
106,Creativity,Creativityへの依存_106,AIがCreativityをへの依存させることで、人間のCreativity能力が根本から変化する。
107,Knowledge,Knowledgeによる拡張_107,AIがKnowledgeをによる拡張させることで、人間のKnowledge能力が根本から変化する。
108,Logic,Logicの深淵_108,AIがLogicをの深淵させることで、人間のLogic能力が根本から変化する。
109,Perception,Perceptionとの融合_109,AIがPerceptionをとの融合させることで、人間のPerception能力が根本から変化する。
110,Memory,Memoryの自動化_110,AIがMemoryをの自動化させることで、人間のMemory能力が根本から変化する。
111,Cognition,Cognitionの流動化_111,AIがCognitionをの流動化させることで、人間のCognition能力が根本から変化する。
112,Time,Timeの分散化_112,AIがTimeをの分散化させることで、人間のTime能力が根本から変化する。
113,Identity,Identityの再定義_113,AIがIdentityをの再定義させることで、人間のIdentity能力が根本から変化する。
114,Environment,Environmentの民主化_114,AIがEnvironmentをの民主化させることで、人間のEnvironment能力が根本から変化する。
115,Society,Societyのエージェント化_115,AIがSocietyをのエージェント化させることで、人間のSociety能力が根本から変化する。
116,Creativity,Creativityへの依存_116,AIがCreativityをへの依存させることで、人間のCreativity能力が根本から変化する。
117,Knowledge,Knowledgeによる拡張_117,AIがKnowledgeをによる拡張させることで、人間のKnowledge能力が根本から変化する。
118,Logic,Logicの深淵_118,AIがLogicをの深淵させることで、人間のLogic能力が根本から変化する。
119,Perception,Perceptionとの融合_119,AIがPerceptionをとの融合させることで、人間のPerception能力が根本から変化する。
120,Memory,Memoryの自動化_120,AIがMemoryをの自動化させることで、人間のMemory能力が根本から変化する。
121,Cognition,Cognitionの流動化_121,AIがCognitionをの流動化させることで、人間のCognition能力が根本から変化する。
122,Time,Timeの分散化_122,AIがTimeをの分散化させることで、人間のTime能力が根本から変化する。
123,Identity,Identityの再定義_123,AIがIdentityをの再定義させることで、人間のIdentity能力が根本から変化する。
124,Environment,Environmentの民主化_124,AIがEnvironmentをの民主化させることで、人間のEnvironment能力が根本から変化する。
125,Society,Societyのエージェント化_125,AIがSocietyをのエージェント化させることで、人間のSociety能力が根本から変化する。
126,Creativity,Creativityへの依存_126,AIがCreativityをへの依存させることで、人間のCreativity能力が根本から変化する。
127,Knowledge,Knowledgeによる拡張_127,AIがKnowledgeをによる拡張させることで、人間のKnowledge能力が根本から変化する。
128,Logic,Logicの深淵_128,AIがLogicをの深淵させることで、人間のLogic能力が根本から変化する。
129,Perception,Perceptionとの融合_129,AIがPerceptionをとの融合させることで、人間のPerception能力が根本から変化する。
130,Memory,Memoryの自動化_130,AIがMemoryをの自動化させることで、人間のMemory能力が根本から変化する。
131,Cognition,Cognitionの流動化_131,AIがCognitionをの流動化させることで、人間のCognition能力が根本から変化する。
132,Time,Timeの分散化_132,AIがTimeをの分散化させることで、人間のTime能力が根本から変化する。
133,Identity,Identityの再定義_133,AIがIdentityをの再定義させることで、人間のIdentity能力が根本から変化する。
134,Environment,Environmentの民主化_134,AIがEnvironmentをの民主化させることで、人間のEnvironment能力が根本から変化する。
135,Society,Societyのエージェント化_135,AIがSocietyをのエージェント化させることで、人間のSociety能力が根本から変化する。
136,Creativity,Creativityへの依存_136,AIがCreativityをへの依存させることで、人間のCreativity能力が根本から変化する。
137,Knowledge,Knowledgeによる拡張_137,AIがKnowledgeをによる拡張させることで、人間のKnowledge能力が根本から変化する。
138,Logic,Logicの深淵_138,AIがLogicをの深淵させることで、人間のLogic能力が根本から変化する。
139,Perception,Perceptionとの融合_139,AIがPerceptionをとの融合させることで、人間のPerception能力が根本から変化する。
140,Memory,Memoryの自動化_140,AIがMemoryをの自動化させることで、人間のMemory能力が根本から変化する。
141,Cognition,Cognitionの流動化_141,AIがCognitionをの流動化させることで、人間のCognition能力が根本から変化する。
142,Time,Timeの分散化_142,AIがTimeをの分散化させることで、人間のTime能力が根本から変化する。
143,Identity,Identityの再定義_143,AIがIdentityをの再定義させることで、人間のIdentity能力が根本から変化する。
144,Environment,Environmentの民主化_144,AIがEnvironmentをの民主化させることで、人間のEnvironment能力が根本から変化する。
145,Society,Societyのエージェント化_145,AIがSocietyをのエージェント化させることで、人間のSociety能力が根本から変化する。
146,Creativity,Creativityへの依存_146,AIがCreativityをへの依存させることで、人間のCreativity能力が根本から変化する。
147,Knowledge,Knowledgeによる拡張_147,AIがKnowledgeをによる拡張させることで、人間のKnowledge能力が根本から変化する。
148,Logic,Logicの深淵_148,AIがLogicをの深淵させることで、人間のLogic能力が根本から変化する。
149,Perception,Perceptionとの融合_149,AIがPerceptionをとの融合させることで、人間のPerception能力が根本から変化する。
150,Memory,Memoryの自動化_150,AIがMemoryをの自動化させることで、人間のMemory能力が根本から変化する。
151,Cognition,Cognitionの流動化_151,AIがCognitionをの流動化させることで、人間のCognition能力が根本から変化する。
152,Time,Timeの分散化_152,AIがTimeをの分散化させることで、人間のTime能力が根本から変化する。
153,Identity,Identityの再定義_153,AIがIdentityをの再定義させることで、人間のIdentity能力が根本から変化する。
154,Environment,Environmentの民主化_154,AIがEnvironmentをの民主化させることで、人間のEnvironment能力が根本から変化する。
155,Society,Societyのエージェント化_155,AIがSocietyをのエージェント化させることで、人間のSociety能力が根本から変化する。
156,Creativity,Creativityへの依存_156,AIがCreativityをへの依存させることで、人間のCreativity能力が根本から変化する。
157,Knowledge,Knowledgeによる拡張_157,AIがKnowledgeをによる拡張させることで、人間のKnowledge能力が根本から変化する。
158,Logic,Logicの深淵_158,AIがLogicをの深淵させることで、人間のLogic能力が根本から変化する。
159,Perception,Perceptionとの融合_159,AIがPerceptionをとの融合させることで、人間のPerception能力が根本から変化する。
160,Memory,Memoryの自動化_160,AIがMemoryをの自動化させることで、人間のMemory能力が根本から変化する。
161,Cognition,Cognitionの流動化_161,AIがCognitionをの流動化させることで、人間のCognition能力が根本から変化する。
162,Time,Timeの分散化_162,AIがTimeをの分散化させることで、人間のTime能力が根本から変化する。
163,Identity,Identityの再定義_163,AIがIdentityをの再定義させることで、人間のIdentity能力が根本から変化する。
164,Environment,Environmentの民主化_164,AIがEnvironmentをの民主化させることで、人間のEnvironment能力が根本から変化する。
165,Society,Societyのエージェント化_165,AIがSocietyをのエージェント化させることで、人間のSociety能力が根本から変化する。
166,Creativity,Creativityへの依存_166,AIがCreativityをへの依存させることで、人間のCreativity能力が根本から変化する。
167,Knowledge,Knowledgeによる拡張_167,AIがKnowledgeをによる拡張させることで、人間のKnowledge能力が根本から変化する。
168,Logic,Logicの深淵_168,AIがLogicをの深淵させることで、人間のLogic能力が根本から変化する。
169,Perception,Perceptionとの融合_169,AIがPerceptionをとの融合させることで、人間のPerception能力が根本から変化する。
170,Memory,Memoryの自動化_170,AIがMemoryをの自動化させることで、人間のMemory能力が根本から変化する。
171,Cognition,Cognitionの流動化_171,AIがCognitionをの流動化させることで、人間のCognition能力が根本から変化する。
172,Time,Timeの分散化_172,AIがTimeをの分散化させることで、人間のTime能力が根本から変化する。
173,Identity,Identityの再定義_173,AIがIdentityをの再定義させることで、人間のIdentity能力が根本から変化する。
174,Environment,Environmentの民主化_174,AIがEnvironmentをの民主化させることで、人間のEnvironment能力が根本から変化する。
175,Society,Societyのエージェント化_175,AIがSocietyをのエージェント化させることで、人間のSociety能力が根本から変化する。
176,Creativity,Creativityへの依存_176,AIがCreativityをへの依存させることで、人間のCreativity能力が根本から変化する。
177,Knowledge,Knowledgeによる拡張_177,AIがKnowledgeをによる拡張させることで、人間のKnowledge能力が根本から変化する。
178,Logic,Logicの深淵_178,AIがLogicをの深淵させることで、人間のLogic能力が根本から変化する。
179,Perception,Perceptionとの融合_179,AIがPerceptionをとの融合させることで、人間のPerception能力が根本から変化する。
180,Memory,Memoryの自動化_180,AIがMemoryをの自動化させることで、人間のMemory能力が根本から変化する。
181,Cognition,Cognitionの流動化_181,AIがCognitionをの流動化させることで、人間のCognition能力が根本から変化する。
182,Time,Timeの分散化_182,AIがTimeをの分散化させることで、人間のTime能力が根本から変化する。
183,Identity,Identityの再定義_183,AIがIdentityをの再定義させることで、人間のIdentity能力が根本から変化する。
184,Environment,Environmentの民主化_184,AIがEnvironmentをの民主化させることで、人間のEnvironment能力が根本から変化する。
185,Society,Societyのエージェント化_185,AIがSocietyをのエージェント化させることで、人間のSociety能力が根本から変化する。
186,Creativity,Creativityへの依存_186,AIがCreativityをへの依存させることで、人間のCreativity能力が根本から変化する。
187,Knowledge,Knowledgeによる拡張_187,AIがKnowledgeをによる拡張させることで、人間のKnowledge能力が根本から変化する。
188,Logic,Logicの深淵_188,AIがLogicをの深淵させることで、人間のLogic能力が根本から変化する。
189,Perception,Perceptionとの融合_189,AIがPerceptionをとの融合させることで、人間のPerception能力が根本から変化する。
190,Memory,Memoryの自動化_190,AIがMemoryをの自動化させることで、人間のMemory能力が根本から変化する。
191,Cognition,Cognitionの流動化_191,AIがCognitionをの流動化させることで、人間のCognition能力が根本から変化する。
192,Time,Timeの分散化_192,AIがTimeをの分散化させることで、人間のTime能力が根本から変化する。
193,Identity,Identityの再定義_193,AIがIdentityをの再定義させることで、人間のIdentity能力が根本から変化する。
194,Environment,Environmentの民主化_194,AIがEnvironmentをの民主化させることで、人間のEnvironment能力が根本から変化する。
195,Society,Societyのエージェント化_195,AIがSocietyをのエージェント化させることで、人間のSociety能力が根本から変化する。
196,Creativity,Creativityへの依存_196,AIがCreativityをへの依存させることで、人間のCreativity能力が根本から変化する。
197,Knowledge,Knowledgeによる拡張_197,AIがKnowledgeをによる拡張させることで、人間のKnowledge能力が根本から変化する。
198,Logic,Logicの深淵_198,AIがLogicをの深淵させることで、人間のLogic能力が根本から変化する。
199,Perception,Perceptionとの融合_199,AIがPerceptionをとの融合させることで、人間のPerception能力が根本から変化する。
200,Memory,Memoryの自動化_200,AIがMemoryをの自動化させることで、人間のMemory能力が根本から変化する。
